capsule_calcium_lactate_mol_m3,spore_density_rel,active_density_rel,lactate_mol_m3,oxygen_mol_m3,calcium_mol_m3,inorganic_carbon_mol_m3,hydrated_carbon_mol_m3,portlandite_mol_m3,calcite_mol_m3,csh_volume_fraction,biomass_carbon_mol_m3,ammonium_mol_m3,solid_fraction,healing_ratio,aperture_mm,porosity,permeability_ratio,transmissivity_ratio,sorptivity_ratio,x_mm,time_d
122.36727789324502,0.015291763955769281,0.00552019823520478,2116.843680893648,0.003928275415733199,1051.5567555110931,6.5555476742634e-06,6.555545184270591e-06,4999.999089800328,0.11535571783575624,0.00025782580382023346,0.009918413887483109,0.0,0.00026208617142003254,0.00026208617142003254,0.299921374148574,0.17995282448914438,0.9990989856794852,0.9992139475352213,0.9995493913156493,38.0,7.0
747.2168977655977,0.09821787109862548,0.02834386214064365,2144.7655109864263,0.0027519457305593886,1065.7009416639194,7.539039093753767e-06,7.539036230201539e-06,4999.9988010732495,0.17998645368770608,0.0015743734813039563,0.015558934885479232,0.0,0.001581020819382036,0.001581020819382036,0.29952569375418536,0.17971541625251122,0.9945739722189526,0.9952644324703858,0.997283295868808,40.0,7.0
3340.5340237318264,0.4525485984735945,0.11267125133418833,2193.6411173228735,0.001222789758179466,1088.8357830616262,7.999098807700107e-06,7.99909576940346e-06,4999.998653143187,0.21094987508100616,0.007038449205423104,0.018260507466984325,0.0,0.007046240098062309,0.007046240098062309,0.2978861279705813,0.17873167678234878,0.9759883514982618,0.9790098783620773,0.9879212273750685,42.0,7.0
5507.575828262335,0.7504180862822704,0.1813307173113298,2225.0996630578006,0.0006352125645800123,1104.0303891036797,6.1125800317059255e-06,6.112577709965456e-06,4999.998653882228,0.21122682213786698,0.011604369971042946,0.01829830419052964,0.0,0.011612171092011445,0.011612171092011445,0.29651634867239657,0.17790980920343794,0.9606627227288964,0.9655664484619929,0.9801340330428775,44.0,7.0
3340.5340237318474,0.45262841874002757,0.112585379799504,2206.7107285015786,0.000870170792731327,1096.9687347504039,6.3813997156228965e-06,6.38139729177668e-06,4999.998693317699,0.20462399371224557,0.007038449205423157,0.017738113520736457,0.0,0.007046006467857208,0.007046006467857208,0.29788619805964284,0.1787317188357857,0.9759891403657415,0.9790105694103669,0.9879216266312533,46.0,7.0
747.2168977656078,0.09832305702496126,0.028228467759610222,2171.3732485189475,0.0016281986002893098,1082.2037213152514,5.101045449979009e-06,5.101043512449587e-06,4999.998864688861,0.169183033653686,0.0015743734813039767,0.014676837932506227,0.0,0.0015806218227692877,0.0015806218227692877,0.2995258134531692,0.17971548807190152,0.9945753387581062,0.9952656256787612,0.9972839809994475,48.0,7.0
122.36727789324553,0.015383858749303004,0.005415283009763198,2158.059464053217,0.0019574384008472856,1076.984702724148,4.568281516722937e-06,4.568279781553169e-06,4999.999172404699,0.10163013384993033,0.0002578258038202346,0.008812810876290622,0.0,0.0002615792521758156,0.0002615792521758156,0.29992152622434726,0.17995291573460834,0.9991007278030541,0.9992154674966898,0.9995502627697389,50.0,7.0
747.2168977655977,0.0983456045377984,0.02820378160086361,2176.28399576452,0.0014355913154444977,1085.5418410193329,4.491731591925732e-06,4.491729885831911e-06,4999.998877209565,0.16688833702022662,0.0015743734813039563,0.014491880047945395,0.0,0.0015805370740340338,0.0015805370740340338,0.2995258388777898,0.17971550332667388,0.9945756290175573,0.9952658791218895,0.9972841265244109,52.0,7.0
3340.5340237318264,0.45270151652258295,0.11250681158320447,2216.8062207946323,0.0006672477506185216,1103.8055656872314,4.765220053691051e-06,4.765218243718144e-06,4999.998729710927,0.19885310746162096,0.007038449205423104,0.017265697711609334,0.0,0.007045793334973363,0.007045793334973363,0.29788626199950796,0.1787317571997048,0.9759898600231104,0.9790111998304836,0.987921990859152,54.0,7.0
5507.575828262335,0.7505504833865552,0.1811889019735239,2240.9315331451476,0.0003799803934550275,1114.6864432225616,4.407056538047148e-06,4.4070548641154416e-06,4999.998716684581,0.2013388804316363,0.011604369971042946,0.017484627001202475,0.0,0.0116118059062429,0.0116118059062429,0.2965164582281271,0.17790987493687627,0.9606639411825793,0.9655675187238238,0.9801346546177108,56.0,7.0
3340.5340237318474,0.4527198529397888,0.11248705462390866,2216.0048825964586,0.0005826422328206926,1103.7647249098425,4.484585882259274e-06,4.4845841788796075e-06,4999.998739097787,0.1973574763573291,0.007038449205423157,0.017143100871215365,0.0,0.007045738097674238,0.007045738097674238,0.2978862785706977,0.17873176714241862,0.9759900465355928,0.9790113632154728,0.9879220852555088,58.0,7.0
747.2168977656078,0.09836975261163114,0.02817723879997935,2174.7118764488346,0.0011659919267620205,1085.4929242765802,4.385381490981641e-06,4.385379825282765e-06,4999.998890757043,0.16433099717163183,0.0015743734813039767,0.014285007217254904,0.0,0.0015804426252452378,0.0015804426252452378,0.2995258672124264,0.17971552032745586,0.9945759524991982,0.9952661615733115,0.9972842887056821,60.0,7.0
122.3672778932463,0.0154052885209292,0.005390845288447073,2155.7740715219297,0.0014848848338587918,1076.9950906698612,4.375545038152337e-06,4.375543376189641e-06,4999.999191876163,0.09837639989119645,0.00025782580382023595,0.008553506841295825,0.0,0.000261459083856498,0.000261459083856498,0.299921562274843,0.17995293736490584,0.9991011407844792,0.9992158278131144,0.9995504693533385,62.0,7.0
747.2168977656031,0.09837248786696533,0.028174198907596804,2168.4671128815626,0.0011341903648563435,1082.3813505596156,4.351667762345387e-06,4.351666109451994e-06,4999.998892429186,0.16398271769368472,0.0015743734813039672,0.014258721855725427,0.0,0.0015804297624358993,0.0015804297624358993,0.2995258710712692,0.17971552264276153,0.9945759965535823,0.9952662000398629,0.9972843107928563,64.0,7.0
3340.534023731837,0.4527290761138119,0.11247704644859287,2203.328115526626,0.0005493249881704826,1097.4721073666242,4.30749033006441e-06,4.307488693950924e-06,4999.998744530042,0.19648638740904026,0.007038449205423131,0.01707548095663771,0.0,0.00704570592623788,0.00704570592623788,0.29788628822212865,0.1787317729332772,0.9759901551646398,0.9790114583745472,0.987922140234057,66.0,7.0
5507.575828262335,0.7505674313669135,0.18117060110739272,2221.4624195837305,0.0003380743731354094,1105.0821589656841,4.2883414394564815e-06,4.288339810616317e-06,4999.998726018208,0.19985130182393318,0.011604369971042946,0.01736803911787399,0.0,0.011611750966342031,0.011611750966342031,0.2965164747100974,0.17790988482605843,0.9606641244913691,0.9655676797380498,0.9801347481297503,68.0,7.0
3340.534023731837,0.4527231065074734,0.11248336294296196,2190.081948307579,0.0005616106547818847,1090.7340025378717,4.3321840103188605e-06,4.332182364825977e-06,4999.998742525509,0.19680688452946027,0.007038449205423131,0.017105626077613446,0.0,0.007045717762977084,0.007045717762977084,0.29788628467110684,0.1787317708026641,0.975990115197082,0.9790114233629561,0.9879221200059659,70.0,7.0
747.2168977656031,0.09836401341946575,0.028183265289366908,2141.758932433373,0.0011726686072479153,1068.8323259377098,4.402965414910375e-06,4.4029637425326e-06,4999.998889331232,0.16452109644526283,0.0015743734813039672,0.01431017583900432,0.0,0.001580449646074376,0.001580449646074376,0.2995258651061777,0.1797155190637066,0.9945759284532615,0.9952661405773476,0.9972842766499738,72.0,7.0
122.36727789324553,0.015398294018953776,0.005398515305989597,2115.0515891461814,0.001551775060005567,1056.4277532017636,4.460552120540847e-06,4.460550426289921e-06,4999.999187806775,0.09896552692094604,0.0002578258038202346,0.008612080274867637,0.0,0.00026148084175247965,0.00026148084175247965,0.29992155574747426,0.17995293344848454,0.9991010660092958,0.9992157625735564,0.9995504319489317,74.0,7.0
